Date,Status,SST_Celsius,Linear_Trend
2023-03-13,History,28.25,28.984375375908165
2023-03-14,History,28.3,28.984452685725046
2023-03-15,History,28.41,28.98452999554192
2023-03-16,History,28.37,28.984607305358793
2023-03-17,History,28.36,28.984684615175674
2023-03-18,History,28.49,28.984761924992547
2023-03-19,History,28.45,28.98483923480942
2023-03-20,History,28.44,28.9849165446263
2023-03-21,History,28.46,28.984993854443175
2023-03-22,History,28.57,28.98507116426005
2023-03-23,History,28.69,28.98514847407693
2023-03-24,History,28.82,28.985225783893803
2023-03-25,History,28.82,28.985303093710684
2023-03-26,History,28.88,28.985380403527557
2023-03-27,History,28.84,28.98545771334443
2023-03-28,History,28.81,28.98553502316131
2023-03-29,History,28.72,28.985612332978185
2023-03-30,History,28.69,28.98568964279506
2023-03-31,History,28.74,28.98576695261194
2023-04-01,History,28.75,28.985844262428813
2023-04-02,History,28.78,28.985921572245687
2023-04-03,History,28.95,28.985998882062567
2023-04-04,History,29.01,28.98607619187944
2023-04-05,History,29.12,28.986153501696315
2023-04-06,History,29.15,28.986230811513195
2023-04-07,History,29.16,28.98630812133007
2023-04-08,History,29.16,28.986385431146942
2023-04-09,History,29.1,28.986462740963823
2023-04-10,History,29.04,28.986540050780697
2023-04-11,History,29.12,28.986617360597577
2023-04-12,History,29.08,28.98669467041445
2023-04-13,History,29.03,28.986771980231325
2023-04-14,History,29.05,28.986849290048205
2023-04-15,History,29.1,28.98692659986508
2023-04-16,History,29.17,28.987003909681953
2023-04-17,History,29.2,28.987081219498833
2023-04-18,History,29.18,28.987158529315707
2023-04-19,History,29.23,28.98723583913258
2023-04-20,History,29.31,28.98731314894946
2023-04-21,History,29.35,28.987390458766335
2023-04-22,History,29.33,28.98746776858321
2023-04-23,History,29.36,28.98754507840009
2023-04-24,History,29.48,28.987622388216963
2023-04-25,History,29.52,28.987699698033836
2023-04-26,History,29.49,28.987777007850717
2023-04-27,History,29.49,28.98785431766759
2023-04-28,History,29.5,28.98793162748447
2023-04-29,History,29.56,28.988008937301345
2023-04-30,History,29.54,28.98808624711822
2023-05-01,History,29.52,28.9881635569351
2023-05-02,History,29.53,28.988240866751973
2023-05-03,History,29.58,28.988318176568846
2023-05-04,History,29.58,28.988395486385727
2023-05-05,History,29.56,28.9884727962026
2023-05-06,History,29.63,28.988550106019474
2023-05-07,History,29.81,28.988627415836355
2023-05-08,History,29.85,28.98870472565323
2023-05-09,History,29.77,28.988782035470102
2023-05-10,History,29.77,28.988859345286983
2023-05-11,History,29.8,28.988936655103856
2023-05-12,History,29.85,28.98901396492073
2023-05-13,History,29.81,28.98909127473761
2023-05-14,History,29.77,28.989168584554484
2023-05-15,History,29.76,28.989245894371365
2023-05-16,History,29.77,28.98932320418824
2023-05-17,History,29.9,28.989400514005112
2023-05-18,History,29.95,28.989477823821993
2023-05-19,History,29.96,28.989555133638866
2023-05-20,History,30.09,28.98963244345574
2023-05-21,History,30.03,28.98970975327262
2023-05-22,History,30.13,28.989787063089494
2023-05-23,History,30.27,28.989864372906368
2023-05-24,History,30.24,28.98994168272325
2023-05-25,History,30.34,28.990018992540122
2023-05-26,History,30.39,28.990096302356996
2023-05-27,History,30.3,28.990173612173876
2023-05-28,History,30.3,28.99025092199075
2023-05-29,History,30.26,28.990328231807624
2023-05-30,History,30.27,28.990405541624504
2023-05-31,History,30.3,28.990482851441378
