Date,SST_Celsius,SST_Anomaly,HotSpot,HotSpot_Filtered,DHW
2023-05-12,31.68,1.48,2.1799999999999997,2.1799999999999997,8.218571428571428
2023-05-13,31.89,1.67,2.3900000000000006,2.3900000000000006,8.56
2023-05-14,31.7,1.47,2.1999999999999993,2.1999999999999993,8.874285714285714
2023-05-15,31.74,1.49,2.2399999999999984,2.2399999999999984,9.194285714285714
2023-05-16,31.87,1.61,2.370000000000001,2.370000000000001,9.532857142857141
2023-05-17,31.56,1.32,2.0599999999999987,2.0599999999999987,9.827142857142857
2023-05-18,31.66,1.43,2.16,2.16,10.135714285714284
2023-05-19,31.59,1.38,2.09,2.09,10.434285714285712
2023-05-20,31.36,1.16,1.8599999999999994,1.8599999999999994,10.7
2023-05-21,31.47,1.28,1.9699999999999989,1.9699999999999989,10.98142857142857
2023-05-22,31.46,1.29,1.9600000000000009,1.9600000000000009,11.26142857142857
2023-05-23,31.36,1.2,1.8599999999999994,1.8599999999999994,11.527142857142858
2023-05-24,31.35,1.2,1.8500000000000014,1.8500000000000014,11.79142857142857
2023-05-25,31.32,1.19,1.8200000000000003,1.8200000000000003,12.051428571428572
2023-05-26,31.36,1.24,1.8599999999999994,1.8599999999999994,12.317142857142857
2023-05-27,31.24,1.14,1.7399999999999984,1.7399999999999984,12.565714285714284
2023-05-28,31.2,1.11,1.6999999999999993,1.6999999999999993,12.808571428571428
2023-05-29,30.99,0.91,1.4899999999999984,1.4899999999999984,13.02142857142857
2023-05-30,30.83,0.77,1.3299999999999983,1.3299999999999983,13.21142857142857
2023-05-31,30.74,0.6900000000000001,1.2399999999999984,1.2399999999999984,13.388571428571426
2023-06-01,30.82,0.79,1.3200000000000003,1.3200000000000003,13.577142857142857
2023-06-02,30.94,0.92,1.4400000000000013,1.4400000000000013,13.782857142857141
2023-06-03,30.8,0.79,1.3000000000000007,1.3000000000000007,13.968571428571426
2023-06-04,30.53,0.54,1.0300000000000011,1.0300000000000011,14.115714285714285
2023-06-05,30.47,0.49,0.9699999999999989,0.0,14.115714285714285
2023-06-06,30.43,0.47,0.9299999999999997,0.0,14.115714285714285
2023-06-07,30.26,0.31,0.7600000000000016,0.0,14.115714285714285
2023-06-08,30.26,0.33,0.7600000000000016,0.0,14.115714285714285
2023-06-09,30.21,0.29,0.7100000000000009,0.0,14.115714285714285
2023-06-10,30.04,0.13,0.5399999999999991,0.0,14.115714285714285
2023-06-11,30.21,0.32,0.7100000000000009,0.0,14.115714285714285
2023-06-12,30.24,0.36,0.7399999999999984,0.0,14.115714285714285
2023-06-13,30.13,0.26,0.629999999999999,0.0,14.115714285714285
